timestamp,open,high,low,close,volume
1620604800000,58295.5,59697,43815,46421.5,52774422494,1028767.3183281673
1620000000000,56654.5,59652,52948.5,58295.5,42417681257,744872.937506378
1619395200000,49074,58573,48808,56654.5,40805279307,743956.2261577458
1618790400000,56250.5,57587,47000,49074,54906213186,1053103.9983106249
1618185600000,60016,64990,51705.5,56250.5,67100436966,1125831.8325416432
1617580800000,58255.5,61573,55511.5,60016,42077021549,718989.1857400483
1616976000000,55790,60365,54947,58255.5,47076043671,805284.9661908149
1616371200000,57430,58487.5,50458,55790,54890598103,1008031.6714113187
1615766400000,58990,60844,53196,57430,67628317794,1180422.9866817333
1615161600000,50990,62000,49332,58990,70663828918,1250098.9462470205
1614556800000,45239.5,52760,45087,50990,45344637301,925567.3699153577
1613952000000,57452,57585.5,43017.5,45239.5,69925459903,1423664.4430818562
1613347200000,48694.5,58500,45830,57452,52399789452,1002900.9370327095
1612742400000,38870,49926.5,38032,48694.5,48755368312,1061692.2688364175
1612137600000,33136.5,41002.5,32327,38870,28936309570,776379.1874230939
1611532800000,32290.5,38735,29250,33136.5,33338054888,997269.5386680899
1610928000000,35879.5,37955,28829.5,32290.5,32609186576,971636.3433925005
1610323200000,38221.5,40181.5,30404,35879.5,56916366112,1610171.2490551628
1609718400000,33092,42097,27744,38221.5,59832766699,1643778.826549286
1609113600000,26228.5,34861,25874,33092,33443640486,1118859.6298699779
1608508800000,23480.5,28397,21898,26228.5,26857428496,1095671.2927140729
1607904000000,19177.5,24349,19007.5,23480.5,24589360319,1112490.4522695688
1607299200000,19400.5,19464,17550,19177.5,12788143086,690991.8220772991
1606694400000,18200.5,19967.5,18077,19400.5,17362697259,909077.9816435658
1606089600000,18463.5,19565,16200,18200.5,20746568788,1155951.9881086724
1605484800000,15972.5,18998,15895,18463.5,21177755527,1189670.7263518267
1604880000000,15509,16499.5,14825,15972.5,13914569847,882767.8641234506
1604275200000,13764.5,15990,13204.5,15509,16397387555,1119060.7116937235
1603670400000,13042,14149,12770.5,13764.5,10853344621,808194.6566283202
1603065600000,11511.5,13375.5,11419,13042,8917769517,710505.9654050414
1602460800000,11370.5,11725,11184.5,11511.5,4647352388,407113.0572792093
1601856000000,10673,11492.5,10521.5,11370.5,4064092522,371135.8254117566
1601251200000,10774.5,10960.5,10376.5,10673,3671010454,343648.9843917689
1600646400000,10915,10989,10132.5,10774.5,4121679119,390447.9802907528
1600041600000,10321.5,11174,10250.5,10915,4562237991,421182.8149320895
1599436800000,10252,10579,9833,10321.5,4293414773,420066.2627688851
1598832000000,11720,12074.5,9821.5,10252,8239439872,760800.2229788374
1598227200000,11656,11833.5,11111,11720,5158520999,449674.5009646255
1597622400000,11924,12491,11380,11656,6816918394,573311.3256140797
1597017600000,11692,12100,11111,11924,9374091655,803819.850738121
1596412800000,11070,11933,10938,11692,7629829235,661270.3106489645
1595808000000,9936,12169,9936,11070,13529412342,1221215.8732786735
1595203200000,9211,10274.5,9135.5,9936,3943229368,411448.2166243386
1594598400000,9302,9349.5,9030.5,9211,2455401772,267381.4655666543
1593993600000,9079,9475.5,9064,9302,3288543251,354814.1892726677
